,Marca:,Modelo Base:,Versão:,Ano:,Combustível:,Propulsão:,Configuração:,Garantia:,Lugares:,Portas:,Porte:,Procedência:,Valor FIPE:,Alimentação:,Aspiração:,Cilindrada:,Cilindros:,Comando de Válvulas:,Curso do Pistão:,Diâmetro do Cilindro:,Disposição:,Instalação:,Peso-Potência:,Peso-Torque:,Potência Específica:,Potência Máxima:,Razão de Compressão:,Torque Específico:,Torque Máximo:,Válvulas por Cilindro:,Variação do Comando:,Aceleração 0-100 km/h:,Velocidade Máxima:,Consumo Rodoviário (Gasolina):,Consumo Urbano (Gasolina):,Autonomia Rodoviária (Gasolina):,Autonomia Urbana (Gasolina):,Acoplamento:,Câmbio:,Quantidade de Marchas:,Tração:,Altura do Flanco:,Pneus Dianteiros:,Pneus Traseiros:,Freios Dianteiros:,Freios Traseiros:,Suspensão Dianteira:,Elemento Elástico da Suspensão:,Suspensão Traseira:,Assistência de Direção:,Diâmetro Mínimo de Giro:,Altura:,Bitola Dianteira:,Bitola Traseira:,Comprimento:,Distância entre Eixos:,Largura:,Peso:,Porta-Malas:,Tanque de Combustível:,Área Frontal:,Área Frontal Corrigida:,Coeficiente de Arrasto:,url,id,Plataforma:,Rotação de Potência Máxima:,Rotação de Torque Máximo:,Código do Câmbio:,Diâmetro de Giro:,Vão Livre do Solo:,Carga Útil:,Acionamento do Comando:,Observações:,Consumo Rodoviário (Diesel):,Consumo Urbano (Diesel):,Autonomia Rodoviária (Diesel):,Autonomia Urbana (Diesel):,Código do Motor:,Rotação Máxima:,Ângulo Central:,Ângulo de Entrada:,Ângulo de Saída:,Reboque com Freio:,Reboque sem Freio:,Geração:,Série:,Cilindrada unitária:,Tuchos:,Pneu Estepe:,Altura mínima do solo:,Autonomia:,Capacidade de Bateria:,Consumo Elétrico:,Potência:,Potência Combinada:,Torque:,Torque Combinado:,Autonomia Elétrica:,Velocidade Máxima (Modo Elétrico):,Consumo Rodoviário:,Consumo Urbano:,Autonomia Rodoviária:,Autonomia Urbana:,Porta-Malas (5 Lugares):,Porta-Malas (7 Lugares):,Consumo Rodoviário (Álcool):,Consumo Urbano (Álcool):,Autonomia Rodoviária (Álcool):,Autonomia Urbana (Álcool):,Frenagem 0-100 km/h:,Rampa Máxima:,Travessia de Água:,Potência de recarga:,Porta-Malas (6 Lugares):,Inclinação Lateral Máxima:,Viscosidade do óleo:
105,Audi,Rs 7,Rs 7 Sportback 4.0 V8 TFSi,2022,Gasolina,Híbrido leve,Sedã,2 anos,4,4,Grande,Importado,R$ 1.105.662 (09/2024),Injeção direta,Turbocompressor,3996 cm³,8 em V,Duplo no cabeçote,86 mm,86 mm,Longitudinal,Dianteiro,"3,4 kg/cv","25,3 kg/kgfm","150,2 cv/litro",600 cv,10:1,"20,4 kgfm/litro","81,6 kgfm",4,Admissão e escape,"3,6 s",250 km/h,"7,3 km/l","5,4 km/l",533 km,394 km,Conversor de torque,Automático,8,Integral permanente,96 mm,275/35 R21,275/35 R21,Disco ventilado,Disco ventilado,"Indep., braços sobrepostos",Mola pneumática,"Indep., braços sobrepostos",Elétrica,,1424 mm,1668 mm,1650 mm,5009 mm,2930 mm,1950 mm,2065 kg,535 litros,73 litros,"2,35 m²","0,752 m²","0,32",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB evo,6000 rpm,2050 rpm,ZF 8HP,"11,9 m",,670 kg,Corrente,,,,,,EA825,6800 rpm,,,,,,2,,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Audi,Rs Q8,Rs Q8 4.0 V8 TFSi,2022,Gasolina,Híbrido leve,SUV,2 anos,5,4,Grande,Importado,R$ 1.029.322 (09/2024),Injeção direta,Turbocompressor,3996 cm³,8 em V,Duplo no cabeçote,86 mm,86 mm,Longitudinal,Dianteiro,"3,9 kg/cv","28,4 kg/kgfm","150,2 cv/litro",600 cv,10:1,"20,4 kgfm/litro","81,6 kgfm",4,Admissão e escape,"3,8 s",250 km/h,"6,8 km/l","4,7 km/l",578 km,400 km,Conversor de torque,Automático,8,Integral permanente,118 mm,295/40 R22,295/40 R22,Disco ventilado,Disco ventilado,"Indep., multibraço",Mola pneumática,"Indep., multibraço",Elétrica,,1707 mm,1679 mm,1691 mm,5012 mm,2998 mm,1998 mm,2315 kg,605 litros,85 litros,"2,84 m²","1,022 m²","0,36",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,6000 rpm,2050 rpm,ZF 8HP,"12,3 m",220 mm,700 kg,Corrente,,,,,,EA825,6800 rpm,,"18,1 graus","23,2 graus",,,1,,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Audi,Rs Q8,Rs Q8 4.0 V8 TFSi,2022,Híbrido,Híbrido leve,SUV,2 anos,5,4,Grande,Importado,R$ 1.029.322 (09/2024),Injeção direta,Turbocompressor,3996 cm³,8 em V,Duplo no cabeçote,86 mm,86 mm,Longitudinal,Dianteiro,"3,9 kg/cv","28,4 kg/kgfm","150,2 cv/litro",600 cv a 6000 rpm,10:1,"20,4 kgfm/litro","81,6 kgfm",4,Admissão e escape,"3,8 s",250 km/h,,,,,Conversor de torque,Automático,8,Integral permanente,118 mm,295/40 R22,295/40 R22,Disco ventilado,Disco ventilado,"Indep., multibraço",Mola pneumática,"Indep., multibraço",Elétrica,,1707 mm,1679 mm,1691 mm,5012 mm,2998 mm,1998 mm,2315 kg,605 litros,85 litros,"2,84 m²","1,022 m²","0,36",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,6000 rpm,2050 rpm,ZF 8HP,"12,3 m",220 mm,700 kg,Corrente,,,,,,EA825,6800 rpm,,"18,1 graus","23,2 graus",,,1,,,Hidráulicos,,,,,,,,,,,,"6,8 km/l","4,7 km/l",578 km,400 km,,,,,,,,,,,,,
108,Audi,A3 Sedan,A3 Sedan Prestige Plus Tech 1.4 TFSi,2021,Flex,Combustão,Sedã,2 anos,5,4,Médio,Nacional,R$ 163.030 (09/2024),Injeção direta,Turbocompressor,1395 cm³,4 em linha,"Duplo no cabeçote, correia dentada",80 mm,"74,5 mm",Transversal,Dianteiro,"8,3 kg/cv","48,6 kg/kgfm","107,5 cv/litro",150 cv (A) 150 cv (G) a 4500 rpm,"10,5:1","18,3 kgfm/litro","25,5 kgfm (A) 25,5 kgfm (G) a 1500 rpm",4,Admissão e escape,"8,8 s",215 km/h,"14,2 km/l","11,7 km/l",710 km,585 km,Conversor de torque,Automático,6,Dianteira,101 mm,225/45 R17,225/45 R17,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,Eixo de torção,Elétrica,"10,9 m",1416 mm,1555 mm,1526 mm,4456 mm,2637 mm,1796 mm,1240 kg,425 litros,50 litros,"2,12 m²","0,636 m²","0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MQB,,,,,,570 kg,,,,,,,EA211,6300 rpm,,,,,,3,8V,,Hidráulicos,,,,,,,,,,,,,,,,,,"9,9 km/l","7,8 km/l",495 km,390 km,,,,,,,
109,Audi,A3 Sedan,A3 Sedan Prestige 1.4 TFSi,2021,Flex,Combustão,Sedã,2 anos,5,4,Médio,Nacional,R$ 127.559 (09/2024),Injeção direta,Turbocompressor,1395 cm³,4 em linha,"Duplo no cabeçote, correia dentada",80 mm,"74,5 mm",Transversal,Dianteiro,"8,3 kg/cv","48,6 kg/kgfm","107,5 cv/litro",150 cv (A) 150 cv (G) a 4500 rpm,"10,5:1","18,3 kgfm/litro","25,5 kgfm (A) 25,5 kgfm (G) a 1500 rpm",4,Admissão e escape,"8,8 s",215 km/h,"14,2 km/l","11,7 km/l",710 km,585 km,Conversor de torque,Automático,6,Dianteira,113 mm,205/55 R16,205/55 R16,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,Eixo de torção,Elétrica,"10,9 m",1416 mm,1555 mm,1526 mm,4456 mm,2637 mm,1796 mm,1240 kg,425 litros,50 litros,"2,12 m²","0,636 m²","0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MQB,,,,,,570 kg,,,,,,,EA211,6300 rpm,,,,,,1,8V,,Hidráulicos,,,,,,,,,,,,,,,,,,"9,9 km/l","7,8 km/l",495 km,390 km,,,,,,,
110,Audi,A4,A4 Prestige Plus 2.0 TFSi,2021,Gasolina,Combustão,Sedã,2 anos,5,4,Médio,Importado,R$ 185.691 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,1984 cm³,4 em linha,"Duplo no cabeçote, corrente","92,8 mm","82,5 mm",Longitudinal,Dianteiro,"7,7 kg/cv","44,6 kg/kgfm","95,8 cv/litro",190 cv a 4300 rpm,"11,7:1","16,4 kgfm/litro","32,6 kgfm a 1450 rpm",4,Admissão e escape,"7,3 s",240 km/h,"14,3 km/l",11 km/l,772 km,594 km,Embreagem dupla banhada a óleo,Automatizado,7,Dianteira,98 mm,245/40 R18,245/40 R18,Disco ventilado,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"11,6 m",1428 mm,1572 mm,1555 mm,4762 mm,2820 mm,1847 mm,1455 kg,460 litros,54 litros,"2,2 m²","0,550 m²","0,25",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,S-Tronic,,,585 kg,,,,,,,EA888,6700 rpm,,"12,5 graus","15,3 graus",1700 kg,750 kg,5,B9,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Audi,A4,A4 Prestige 2.0 TFSi,2021,Gasolina,Combustão,Sedã,2 anos,5,4,Médio,Importado,R$ 177.104 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,1984 cm³,4 em linha,"Duplo no cabeçote, corrente","92,8 mm","82,5 mm",Longitudinal,Dianteiro,"7,7 kg/cv","44,6 kg/kgfm","95,8 cv/litro",190 cv a 4300 rpm,"11,7:1","16,4 kgfm/litro","32,6 kgfm a 1450 rpm",4,Admissão e escape,"7,3 s",240 km/h,"14,3 km/l",11 km/l,772 km,594 km,Embreagem dupla banhada a óleo,Automatizado,7,Dianteira,98 mm,245/40 R18,245/40 R18,Disco ventilado,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"11,6 m",1428 mm,1572 mm,1555 mm,4762 mm,2820 mm,1847 mm,1455 kg,460 litros,54 litros,"2,2 m²","0,550 m²","0,25",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,S-Tronic,,,585 kg,,,,,,,EA888,6700 rpm,,"12,5 graus","15,3 graus",1700 kg,750 kg,5,B9,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Audi,A4,A4 Performance Black 2.0 TFSi Quattro,2021,Gasolina,Combustão,Sedã,2 anos,5,4,Médio,Importado,R$ 217.771 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,1984 cm³,4 em linha,"Duplo no cabeçote, corrente","92,8 mm","82,5 mm",Longitudinal,Dianteiro,"6,2 kg/cv","41,0 kg/kgfm","125,5 cv/litro",249 cv a 5000 rpm,"9,6:1","19,0 kgfm/litro","37,7 kgfm a 1600 rpm",4,Admissão e escape,"5,8 s",250 km/h,"12,3 km/l","9,7 km/l",713 km,563 km,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,98 mm,245/40 R18,245/40 R18,Disco ventilado,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"11,6 m",1428 mm,1572 mm,1555 mm,4762 mm,2820 mm,1847 mm,1545 kg,460 litros,58 litros,"2,2 m²","0,594 m²","0,27",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,S-Tronic,,,565 kg,,,,,,,EA888,6700 rpm,,"12,5 graus","15,3 graus",1900 kg,750 kg,5,B9,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Audi,A5,A5 Sportback Performance Black 2.0 TFSi Quattro,2021,Gasolina,Combustão,Sedã,2 anos,5,4,Médio,Importado,R$ 294.723 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,1984 cm³,4 em linha,"Duplo no cabeçote, corrente","92,8 mm","82,5 mm",Longitudinal,Dianteiro,"6,2 kg/cv","40,7 kg/kgfm","125,5 cv/litro",249 cv a 5000 rpm,"9,6:1","19,0 kgfm/litro","37,7 kgfm a 1600 rpm",4,Admissão e escape,6 s,250 km/h,"11,9 km/l","9,3 km/l",643 km,502 km,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,98 mm,245/40 R18,245/40 R18,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"11,7 m",1386 mm,1587 mm,1568 mm,4757 mm,2824 mm,1843 mm,1535 kg,465 litros,54 litros,"2,16 m²","0,583 m²","0,27",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,S-Tronic,,,570 kg,,,,,,,EA888,,,"12,2 graus","12,7 graus",1900 kg,750 kg,2,F5,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Audi,A6,A6 Prestige Plus 2.0 TFSi Quattro,2021,Híbrido,Combustão,Sedã,2 anos,5,4,Grande,Importado,R$ 282.427 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,1984 cm³,4 em linha,"Duplo no cabeçote, corrente","92,8 mm","82,5 mm",Longitudinal,Dianteiro,"7,0 kg/cv","45,2 kg/kgfm","123,5 cv/litro",245 cv a 5250 rpm,"9,6:1","19,0 kgfm/litro","37,7 kgfm a 1600 rpm",4,Admissão e escape,6 s,250 km/h,,,,,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,110 mm,245/45 R19,245/45 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"11,1 m",1457 mm,1630 mm,1617 mm,4939 mm,2924 mm,1886 mm,1705 kg,530 litros,63 litros,"2,33 m²","0,629 m²","0,27",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,S-Tronic,,,635 kg,,,,,,,EA888,6700 rpm,,"11,8 graus","14,9 graus",2000 kg,750 kg,5,C8,,Hidráulicos,,,,,,16 cv,,,,,,"12,9 km/l",9 km/l,813 km,567 km,,,,,,,,,,,,,
115,Audi,A7,A7 Performance 3.0 V6 TFSi Quattro,2020,Híbrido,Híbrido leve,Sedã,2 anos,5,4,Grande,Importado,R$ 346.711 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,2995 cm³,6 em V,"Duplo no cabeçote, corrente",89 mm,"84,5 mm",Longitudinal,Dianteiro,"5,8 kg/cv","38,5 kg/kgfm","113,5 cv/litro",340 cv a 5000 rpm,"11,2:1","17,0 kgfm/litro",51 kgfm a 1370 rpm,4,Admissão e escape,"5,3 s",250 km/h,,,,,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,102 mm,255/40 R20,255/40 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"12,2 m",1422 mm,1651 mm,1637 mm,4969 mm,2926 mm,1908 mm,1965 kg,535 litros,73 litros,"2,29 m²","0,641 m²","0,28",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,DL382,,,,,,,,,,EA839,6500 rpm,,"12,4 graus","14,1 graus",,,2,,,Hidráulicos,,,,,,16 cv,,,,,,"10,4 km/l","8,3 km/l",759 km,606 km,,,,,,,,,,,,,
116,Audi,E-tron Gt,E-tron Gt RS,2021,Eletricidade,Elétrico,Sedã,2 anos,5,4,Grande,Importado,,,,,,,,,,,"3,92 kg/cv","27,74 kg/kgfm",,,,,,,,"3,3 s",250 km/h,,,,,,Automático,2,Integral permanente,114 mm,245/45 R20,285/40 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola pneumática,"Independente, multibraço",Elétrica,"11,6 m",1396 mm,1702 mm,1667 mm,4989 mm,2900 mm,1964 mm,2347 kg,350 litros,,"2,35 m²","0,564 m²","0,24",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,Porsche J1,,,,,,513 kg,,Dados preliminares,,,,,,,,"10,8 graus","12,7 graus",,,,,,,,,433 km,"93,4 kWh","22,5 kWh/100 km",455 cv (traseiro),598 cv,"42,3 kgfm (traseiro)","84,6 kgfm",,,,,,,,,,,,,,,,,,,
117,Audi,E-tron Gt,E-tron Gt,2021,Eletricidade,Elétrico,Sedã,2 anos,5,4,Grande,Importado,R$ 378.813 (09/2024),,,,,,,,,,"4,78 kg/cv","35,45 kg/kgfm",,,,,,,,"4,1 s",245 km/h,,,,,,Automático,2,Integral permanente,124 mm,225/55 R19,275/45 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola pneumática,"Independente, multibraço",Elétrica,"11,6 m",1413 mm,1710 mm,1694 mm,4989 mm,2900 mm,1964 mm,2276 kg,405 litros,,"2,35 m²","0,564 m²","0,24",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,Porsche J1,,,,,,564 kg,,Dados preliminares,,,,,,,,16 graus,12 graus,,,,,,,,,452 km,"93,4 kWh","21,6 kWh/100 km",238 cv (traseiro),476 cv,"32,1 kgfm (traseiro)","64,2 kgfm",,,,,,,,,,,,,,,,,,,
118,Audi,E-tron Gt,E-tron Gt,2021,Eletricidade,Combustão,Sedã,2 anos,5,4,Grande,Importado,,,,,,,,,,,"4,78 kg/cv","35,45 kg/kgfm",,,,,,,,"4,1 s",245 km/h,,,,,,Automático,2,Integral permanente,124 mm,225/55 R19,275/45 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola pneumática,"Independente, multibraço",Elétrica,"11,6 m",1413 mm,1710 mm,1694 mm,4989 mm,2900 mm,1964 mm,2276 kg,405 litros,,"2,35 m²","0,564 m²","0,24",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,Porsche J1,,,,,,564 kg,,Dados preliminares,,,,,,,,16 graus,12 graus,,,,,,,,,452 km,"93,4 kWh","21,6 kWh/100 km",238 cv (traseiro),476 cv,"32,1 kgfm (traseiro)","64,2 kgfm",,,,,,,,,,,,,,,,,,,
119,Audi,E-tron Sportback,E-tron Sportback S,2021,Eletricidade,Elétrico,SUV,4 anos,5,4,Médio,Importado,R$ 399.674 (09/2024),,,,,,,,,,"5,21 kg/cv","26,41 kg/kgfm",,,,,,,,"4,5 s",210 km/h,,,,,,Automático,1,Integral permanente,128 mm,285/45 R20,285/45 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola pneumática,"Independente, multibraço",Elétrica,"12,2 m",1615 mm,1683 mm,1683 mm,4902 mm,2928 mm,1976 mm,2620 kg,555 litros,,"2,71 m²","0,705 m²","0,26",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,,,170 mm,,,,,,,,,,"13,8 graus","15,4 graus",20 graus,1800 kg,750 kg,,,,,Estepe compacto vazio com kit de enchimento,,347 km,95 kWh,"28,3 kWh/100 km",225 cv (traseiro),503 cv,"36,2 kgfm (traseiro)","99,2 kgfm",,,,,,,,,,,,,,,,,,,
120,Audi,Q3,Q3 Black S-Line 1.4 TFSi,2021,Gasolina,Combustão,SUV,4 anos,5,4,Compacto,Importado,R$ 217.834 (09/2024),Injeção direta,Turbocompressor,1395 cm³,4 em linha,"Duplo no cabeçote, correia dentada",80 mm,"74,5 mm",Transversal,Dianteiro,"10,5 kg/cv","62,0 kg/kgfm","107,5 cv/litro",150 cv a 5000 rpm,"10,5:1","18,3 kgfm/litro","25,5 kgfm a 1500 rpm",4,Admissão e escape,"9,3 s",207 km/h,"11,9 km/l","10,2 km/l",690 km,592 km,Embreagem dupla banhada a óleo,Automatizado,6,Dianteira,118 mm,235/50 R19,235/50 R19,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,"11,8 m",1616 mm,1584 mm,1576 mm,4484 mm,2680 mm,1849 mm,1580 kg,530 litros,58 litros,"2,44 m²",,"0,32",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MQB,,,DSG DQ250,,,,,,,,,,EA211,,,19 graus,16 graus,2000 kg,750 kg,2,F3,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Audi,Q5,Q5 S-Line Black 2.0 Turbo,2021,Gasolina,Combustão,SUV,2 anos,5,4,Médio,Importado,R$ 298.674 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,1984 cm³,4 em linha,"Duplo no cabeçote, corrente","92,8 mm","82,5 mm",Longitudinal,Dianteiro,"6,9 kg/cv","45,6 kg/kgfm","125,5 cv/litro",249 cv a 5000 rpm,"9,6:1","19,0 kgfm/litro","37,7 kgfm a 1600 rpm",4,Admissão e escape,"6,3 s",237 km/h,"10,3 km/l","8,5 km/l",721 km,595 km,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,115 mm,255/45 R20,255/45 R20,Disco ventilado,Disco ventilado,"Independente, multibraço",Mola helicoidal,"Independente, multibraço",Elétrica,"11,7 m",1659 mm,1616 mm,1609 mm,4663 mm,2819 mm,1893 mm,1720 kg,550 litros,70 litros,"2,67 m²","0,801 m²","0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,DSG DL501,,208 mm,680 kg,,,,,,,EA888,,,,,2400 kg,750 kg,2,FY,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Audi,Q5,Q5 S-Line 2.0 Turbo,2019,Gasolina,Combustão,SUV,2 anos,5,4,Médio,Importado,R$ 181.568 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,1984 cm³,4 em linha,"Duplo no cabeçote, corrente","92,8 mm","82,5 mm",Longitudinal,Dianteiro,"6,8 kg/cv","45,6 kg/kgfm","127,0 cv/litro",252 cv a 5000 rpm,"9,6:1","19,0 kgfm/litro","37,7 kgfm a 1600 rpm",4,Admissão e escape,"6,3 s",237 km/h,"10,3 km/l","8,5 km/l",721 km,595 km,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,141 mm,235/60 R18,235/60 R18,Disco ventilado,Disco ventilado,"Independente, multibraço",Mola helicoidal,"Independente, multibraço",Elétrica,"11,7 m",1659 mm,1616 mm,1609 mm,4663 mm,2819 mm,1893 mm,1720 kg,550 litros,70 litros,"2,67 m²","0,801 m²","0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,DSG DL501,,208 mm,680 kg,,,,,,,EA888,,,,,2400 kg,750 kg,2,FY,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Audi,Q5,Q5 Prestige 2.0 Turbo,2021,Híbrido,Híbrido leve,SUV,2 anos,5,4,Médio,Importado,R$ 252.145 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,1984 cm³,4 em linha,"Duplo no cabeçote, corrente","92,8 mm","82,5 mm",Longitudinal,Dianteiro,"6,9 kg/cv","45,6 kg/kgfm","125,5 cv/litro",249 cv a 5000 rpm,"9,6:1","19,0 kgfm/litro","37,7 kgfm a 1600 rpm",4,Admissão e escape,"6,3 s",237 km/h,,,,,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,141 mm,235/60 R18,235/60 R18,Disco ventilado,Disco ventilado,"Independente, multibraço",Mola helicoidal,"Independente, multibraço",Elétrica,"11,7 m",1659 mm,1616 mm,1609 mm,4663 mm,2819 mm,1893 mm,1720 kg,550 litros,70 litros,"2,67 m²","0,801 m²","0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,DSG DL501,,208 mm,680 kg,,,,,,,EA888,,,,,2400 kg,750 kg,2,FY,,Hidráulicos,,,,,,,,,,,,"10,3 km/l","8,5 km/l",721 km,595 km,,,,,,,,,,,,,
124,Audi,Q5 Sportback,Q5 Sportback S-Line Black 2.0 Turbo,2021,Híbrido,Híbrido leve,SUV,2 anos,5,4,Médio,Importado,R$ 310.480 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,1984 cm³,4 em linha,"Duplo no cabeçote, corrente","92,8 mm","82,5 mm",Longitudinal,Dianteiro,"6,9 kg/cv","45,6 kg/kgfm","125,5 cv/litro",249 cv a 5000 rpm,"9,6:1","19,0 kgfm/litro","37,7 kgfm a 1600 rpm",4,Admissão e escape,"6,3 s",237 km/h,,,,,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,115 mm,255/45 R20,255/45 R20,Disco ventilado,Disco ventilado,"Independente, multibraço",Mola helicoidal,"Independente, multibraço",Elétrica,"11,7 m",1659 mm,1616 mm,1609 mm,4663 mm,2819 mm,1893 mm,1720 kg,510 litros,70 litros,"2,67 m²","0,801 m²","0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,DSG DL501,,208 mm,680 kg,,,,,,,EA888,,,,,2400 kg,750 kg,2,FY,,Hidráulicos,,,,,,,,,,,,"10,3 km/l","8,5 km/l",721 km,595 km,,,,,,,,,,,,,
125,Audi,Q5 Sportback,Q5 Sportback S-Line 2.0 Turbo,2021,Gasolina,Combustão,SUV,2 anos,5,4,Médio,Importado,R$ 278.583 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,1984 cm³,4 em linha,"Duplo no cabeçote, corrente","92,8 mm","82,5 mm",Longitudinal,Dianteiro,"6,9 kg/cv","45,6 kg/kgfm","125,5 cv/litro",249 cv a 5000 rpm,"9,6:1","19,0 kgfm/litro","37,7 kgfm a 1600 rpm",4,Admissão e escape,"6,3 s",237 km/h,"10,3 km/l","8,5 km/l",721 km,595 km,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,141 mm,235/60 R18,235/60 R18,Disco ventilado,Disco ventilado,"Independente, multibraço",Mola helicoidal,"Independente, multibraço",Elétrica,"11,7 m",1659 mm,1616 mm,1609 mm,4663 mm,2819 mm,1893 mm,1720 kg,510 litros,70 litros,"2,67 m²","0,801 m²","0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,,,DSG DL501,,208 mm,680 kg,,,,,,,EA888,,,,,2400 kg,750 kg,,,,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
